date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:34	11144/11144	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jul%202019%2010:04:28%20GMT	http://societe-nettoyage-casablanca.com/images/nettoyage_hotel_5.jpg	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/nettoyage_hotel_5.jpg	(from http://societe-nettoyage-casablanca.com/)
14:46:35	198187/198187	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jul%202019%2010:04:41%20GMT	http://societe-nettoyage-casablanca.com/images/phone-690091_640-580x380.jpg	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/phone-690091_640-580x380.jpg	(from http://societe-nettoyage-casablanca.com/)
14:46:38	31337/31337	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:46%20GMT	http://societe-nettoyage-casablanca.com/jas/bootstrap.min.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/bootstrap.min.js	(from http://societe-nettoyage-casablanca.com/)
14:46:41	12864/12864	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:57%20GMT	http://societe-nettoyage-casablanca.com/jas/plugins/scrollme/jquery.scrollme.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/plugins/scrollme/jquery.scrollme.js	(from http://societe-nettoyage-casablanca.com/)
14:46:47	83612/83612	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:06:04%20GMT	http://societe-nettoyage-casablanca.com/js/plugins/jquery/jquery.min.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/js/plugins/jquery/jquery.min.js	(from http://societe-nettoyage-casablanca.com/)
14:46:47	37378/37378	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:59%20GMT	http://societe-nettoyage-casablanca.com/jas/plugins/_sliders/ios/jquery.iosslider.min.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/plugins/_sliders/ios/jquery.iosslider.min.js	(from http://societe-nettoyage-casablanca.com/)
14:46:48	81546/81546	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:53%20GMT	http://societe-nettoyage-casablanca.com/jas/kl-plugins.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/kl-plugins.js	(from http://societe-nettoyage-casablanca.com/)
14:46:48	2625/2625	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:06:01%20GMT	http://societe-nettoyage-casablanca.com/jas/trigger/slider/ios/kl-ios-slider.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/trigger/slider/ios/kl-ios-slider.js	(from http://societe-nettoyage-casablanca.com/)
14:46:48	1048/1048	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:57%20GMT	http://societe-nettoyage-casablanca.com/jas/trigger/kl-screenshot-box.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/trigger/kl-screenshot-box.js	(from http://societe-nettoyage-casablanca.com/)
14:46:49	1430/1430	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:56%20GMT	http://societe-nettoyage-casablanca.com/jas/trigger/kl-partners-carousel.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/trigger/kl-partners-carousel.js	(from http://societe-nettoyage-casablanca.com/)
